| uid | first_name | last_name | rating | comment                                                            | created_at          | updated_at          |
| --- | ---------- | --------- | ------ | ------------------------------------------------------------------ | ------------------- | ------------------- |
| 25  | Darren     | Alexander | 5.9    | Some good moments but inconsistent. Very away sense west west.     | 2025-03-18 00:00:00 | 2025-03-18 00:00:00 |
| 33  | Jonathan   | Rowland   | 2.6    | Decent effort but needs improvement. Realize local economy really. | 2025-03-24 00:00:00 | 2025-03-24 00:00:00 |
| 43  | Jeremy     | Pena      | 2.7    | Some good moments but inconsistent. Likely good article go task.   | 2025-03-15 00:00:00 | 2025-03-15 00:00:00 |
| 54  | Gary       | Johnson   | 1.8    | Decent effort but needs improvement. Hair write fire thank.        | 2025-03-20 00:00:00 | 2025-03-20 00:00:00 |
| 55  | Kristin    | Williams  | 1.5    | Not quite what it could have been. Property practice seat south.   | 2025-03-23 00:00:00 | 2025-03-23 00:00:00 |
| 56  | Tonya      | Garcia    | 4.5    | Not quite what it could have been. Store big minute start.         | 2025-03-29 00:00:00 | 2025-03-29 00:00:00 |
| 113 | Anna       | Frazier   | 3.5    | Has potential but falls short. Main myself idea difference.        | 2025-03-24 00:00:00 | 2025-03-24 00:00:00 |
| 136 | Lawrence   | Olson     | 7.8    | Well made and worth watching. Article positive special.            | 2025-03-22 00:00:00 | 2025-03-22 00:00:00 |
| 141 | Jeffery    | Hicks     | 1.8    | Decent effort but needs improvement. Room left at office ago.      | 2025-03-15 00:00:00 | 2025-03-15 00:00:00 |
| 180 | Devin      | Smith     | 3.9    | Some good moments but inconsistent. Store now memory.              | 2025-03-27 00:00:00 | 2025-03-27 00:00:00 |
